CNPJ;AGENTE;ACAO;RAZAO_SOCIAL;ENDERECO;CIDADE;LATITUDE;LONGITUDE
29796261000141;ANDERSON_LUCIANO;REALIZAR_SEGUNDA_VISITA;JULIO_CESAR_NONATO_PET_SHOP_-_PET_ASHOP_TIO_JULIO;AVENIDA_DOUTOR_CANDIDO_MOTTA_FILHO_436_CIDADE_SAO_FRANCISCO_SAO_PAULO;SAO_PAULO;-23.5568772;-46.753595
13676438000136;ANDERSON_LUCIANO;REALIZAR_SEGUNDA_VISITA;PKJ_-_CENTRO_DE_BELEZA_E_ESTETICA_LTDA_-_PKJ_-_CENTRO_DE_BELEZA_E_ESTETICA_LTDA;AVENIDA_DOUTOR_CANDIDO_MOTTA_FILHO_526_CIDADE_SAO_FRANCISCO_SAO_PAULO;SAO_PAULO;-23.5571134;-46.7548954
56387462000168;ANDERSON_LUCIANO;REALIZAR_SEGUNDA_VISITA;C&D_COMERCIO_DE_ALIMENTOS_E_COSMETICOS_LTDA_-_KAPEH_SAO_PAULO_VILA_SAO_FRANCISCO;AVENIDA_DOUTOR_CANDIDO_MOTTA_FILHO_545_CIDADE_SAO_FRANCISCO_SAO_PAULO;SAO_PAULO;-23.5579094;-46.7554611
49180089000104;ANDERSON_LUCIANO;REALIZAR_SEGUNDA_VISITA;LILO'S_BUCK_GOURMETERIA_LTDA_-_LILOS_BUCK_GOURMETERIA;AVENIDA_DOUTOR_CANDIDO_MOTTA_FILHO_545_CIDADE_SAO_FRANCISCO_SAO_PAULO;SAO_PAULO;-23.5580862;-46.7557541
15515023000106;ANDERSON_LUCIANO;REALIZAR_SEGUNDA_VISITA;GUILHERME_LANDGRAF_NETO_LTDA_-_5_A_SEC;AVENIDA_DOUTOR_CANDIDO_MOTTA_FILHO_567_CIDADE_SAO_FRANCISCO_SAO_PAULO;SAO_PAULO;-23.5580196;-46.75561
26060964000119;ANDERSON_LUCIANO;REALIZAR_SEGUNDA_VISITA;MONICA_YUKIE_IZUMI_CABELEIREIRA_-_MONICA_IZUMI_HAIR;AVENIDA_DOUTOR_CANDIDO_MOTTA_FILHO_731_CIDADE_SAO_FRANCISCO_SAO_PAULO;SAO_PAULO;-23.5580947;-46.7559072
24602255000192;ANDERSON_LUCIANO;REALIZAR_SEGUNDA_VISITA;STUDIO_CONCEPT_DESIGN_LTDA_-_STUDIO_CONCEPT_DESIGN;AVENIDA_DOUTOR_MARTIN_LUTHER_KING_2530_CIDADE_SAO_FRANCISCO_SAO_PAULO;SAO_PAULO;-23.5526555;-46.7584248
47880482000185;ANDERSON_LUCIANO;REALIZAR_SEGUNDA_VISITA;BOLO_DA_DINHA_CAFETERIA_LTDA_-_BOLO_DA_DINHA;AVENIDA_DOUTOR_MARTIN_LUTHER_KING_2635_CIDADE_SAO_FRANCISCO_SAO_PAULO;SAO_PAULO;-23.5514233;-46.75825
26992021000124;ANDERSON_LUCIANO;REALIZAR_SEGUNDA_VISITA;VICTOR_HUGO_FIGUEIREDO_RIBEIRO_32894020880_-_STUDIO_BROOK_FIGHTER;AVENIDA_GENERAL_MAC_ARTHUR_1372_VILA_LAGEADO_SAO_PAULO;SAO_PAULO;-23.5535976;-46.7532911
30682620000119;ANDERSON_LUCIANO;REALIZAR_SEGUNDA_VISITA;30.682.620_ZIRLANE_DOS_SANTOS_COSTA_-_LANNY_COSTA_ESTUDIO_DE_BELEZA;RUA_ADOLFINO_DE_ARRUDA_CASTANHO_29_VILA_DINORAH_SAO_PAULO;SAO_PAULO;-23.5657842;-46.7522392
31093824000187;ANDERSON_LUCIANO;REALIZAR_SEGUNDA_VISITA;PERALTA_&_REIS_MADEIRAS_E_FERRAGENS_LTDA_-_PERALTA_&_REIS_MADEIRAS_E_FERRAGENS;RUA_AMARO_CAVALHEIRO_185_PINHEIROS_SAO_PAULO;SAO_PAULO;-23.5669813;-46.6990788
11717855000154;ANDERSON_LUCIANO;REALIZAR_SEGUNDA_VISITA;TKBP_NEGOCIOS_CERVEJEIROS_LTDA_-_TANK;RUA_AMARO_CAVALHEIRO_45_PINHEIROS_SAO_PAULO;SAO_PAULO;-23.5657995;-46.6989236
11141872000196;ANDERSON_LUCIANO;REALIZAR_SEGUNDA_VISITA;FJR_DE_MELO_-_FRAN_DOCES;RUA_ARTUR_DE_AZEVEDO_724_PINHEIROS_SAO_PAULO;SAO_PAULO;-23.5609188;-46.6786662
32538114000186;ANDERSON_LUCIANO;REALIZAR_SEGUNDA_VISITA;32.538.114_TATIANA_CARGNELUTTI_DA_SILVA_-_FRUTTETO;RUA_ARTUR_DE_AZEVEDO_740_PINHEIROS_SAO_PAULO;SAO_PAULO;-23.5610515;-46.6788271
23149927000193;ANDERSON_LUCIANO;REALIZAR_SEGUNDA_VISITA;IPL_FISIOTERAPIA_PERUCCI_LOPES_LTDA_-_IPL_FISIOTERAPIA_PELUCCI_;RUA_DOUTOR_PAULO_FERRAZ_DA_COSTA_AGUIAR_1327_VILA_YARA_OSASCO;OSASCO;-23.554495;-46.7631884
46360570000193;ANDERSON_LUCIANO;REALIZAR_SEGUNDA_VISITA;DA_FONSECA_ASSESSORIA_IMOBILIARIA_LTDA_-_DA_FONSECA_IMOVEIS;RUA_DOUTOR_PAULO_FERRAZ_DA_COSTA_AGUIAR_1335_VILA_YARA_OSASCO;OSASCO;-23.554482;-46.7630567
54911079000131;ANDERSON_LUCIANO;REALIZAR_SEGUNDA_VISITA;CLINICA_METALIFE_-_QUIROPRAXIA_E_MASSOTERAPIA_LTDA_-_CLINICA_METALIFE;RUA_DOUTOR_PAULO_FERRAZ_DA_COSTA_AGUIAR_1343_VILA_YARA_OSASCO;OSASCO;-23.5545868;-46.7630466
12626638000111;ANDERSON_LUCIANO;REALIZAR_SEGUNDA_VISITA;KATIA_BARROS_OLIVEIRA_-_LION_KIDS;RUA_DOUTOR_PAULO_FERRAZ_DA_COSTA_AGUIAR_1495_VILA_YARA_OSASCO;OSASCO;-23.5551914;-46.7614061
33295352000170;ANDERSON_LUCIANO;REALIZAR_SEGUNDA_VISITA;EDINA_CAMPOS_RIBEIRO_-_PI_TOH_BABY_KIDS;RUA_FRANCISCO_LEITAO_571_PINHEIROS_SAO_PAULO;SAO_PAULO;-23.5599867;-46.6822023
